date,id,content,username,like_count,retweet_count
2023-03-06 22:09:52+00:00,1632866112218996737,"$CSV  8-K  Carriage Services   (6 Mar, 5:07pm)

📰 Carriage Services Appoints Kian Granmayeh as Chief Financial Officer

https://t.co/lyBfozoEps

#CSV #8K #CarriageServices #News",investor_feed,0,0
2023-03-06 22:03:25+00:00,1632864487219818499,@vanditamorarka I said the other day that #CSV is not really serious about inclusivity especially because of the difficulty that African participants face when trying to get visas to the US.,TracyKadessa,0,0
2023-03-06 15:54:36+00:00,1632771672334905345,"Today was a fun day! #osint module 3

#json #xml #html #csv #httprequests  #python #postman #curl #apis https://t.co/dZpSm4O38r",aware_online,18,1
2023-03-06 13:50:27+00:00,1632740427861311490,"@sgleim @pragprog But with all the markup options . . . Which plain text format?

#XML
#HTML
#CSV

Others?",AdamRossNelson,0,0
2023-03-06 13:10:47+00:00,1632730445044498434,What is CSV in the Pharmaceutical Industry? Find out here! #Validation #CSV #Blogpost https://t.co/gpDrZ0oTe8,Hyperec_HRS,0,0
2023-03-05 19:00:07+00:00,1632455971804188672,ExcelやCSVのデータからレポートを自動作成してみる https://t.co/HZRkDLgJHO #Excel #CSV #Gpt3 #ChatGPT,kamikudakun,1,0
2023-03-05 15:25:01+00:00,1632401838741020672,"Export data from #Redshift table to #CSV file without programming, https://t.co/FovGePr2Dq",withdata,0,0
2023-03-05 13:37:00+00:00,1632374656211582976,"#Memgraph Cloud allows you to plug into your streaming infrastructure and ingest your data from sources like Apache #Kafka, #Pulsar, and #RedPanda, as well as historical data from #MySQL, #CSV and #JSON. 

https://t.co/dzjzHqXdID",memgraphdb,0,0
2023-03-05 13:11:59+00:00,1632368361026797569,@anked @bkastl #Daten #Klartext #CSV 💣💥,ctown_rulez,0,0
2023-03-05 13:01:40+00:00,1632365762772971529,"Corso esperto progettazione e sviluppo territoriale sostenibile, iscrizioni fino al 10 marzo
👩🏻‍🏫👨🏻‍💻 QUI 🔀 https://t.co/eSmS1uFg6u
#ProgettazioneSostenibile #SviluppoSosnibile #Csv #CsvCalabriaCentro #Calabria #CN24 #CN24tv https://t.co/yZzBAjR7dp",CN24_tv,0,0
2023-03-05 11:02:01+00:00,1632335651424321537,"Export #Redis hash keys in same namespace to 1 #CSV file, https://t.co/WW8oYYRyIa",withdata,0,0
