date,id,content,username,like_count,retweet_count
2023-03-03 13:14:50+00:00,1631644302265729025,Samemafian. Min yndlingsmafia - and it is not even close! #Fosendommen #samefolket #sami,grevtelemark,0,0
2023-03-03 12:58:49+00:00,1631640271694733313,"Fosen-saken: Professor #HansPetterGraver er leder for #Akademietsmenneskerettighetskomité og innledet om #Fosensaken, demonstrasjonene og forholdet mellom demokrati og rettsstat under møteserien om #demokratietstilstand onsdag. Se opptaket: https://t.co/VgUKHRKmll #Fosendommen",DNVA1,1,0
2023-03-03 11:07:38+00:00,1631612289165012996,"Sandra Borch sier at de skal få på plass en fremdriftsplan for videre arbeider med tiltak for
#Fosendommen #pågåendemenneskerettighetsbrudd #čsv #baajhvaerideårrodh",tevarsi,0,0
2023-03-03 10:41:28+00:00,1631605704661385216,"Vi er krystallklare på hva vi mener om vindkraft. 

#fosendommen https://t.co/5u5WI48vBA",Folketsparti_no,2,1
2023-03-03 09:40:12+00:00,1631590288417255425,"Statsminister Jonas Gahr Støre innrømmet fredag pågående menneskerettighetsbrudd på Fosen. Fredag avslutter også Fosen-aktivistene sin aksjon. (+)
#Fosen #Fosendommen 
https://t.co/vdvHbytAW9",transitmagasin,0,0
2023-03-03 09:39:58+00:00,1631590227096621056,"Statsminister Jonas Gahr Støre innrømmet fredag pågående menneskerettighetsbrudd på Fosen. Fredag avslutter også Fosen-aktivistene sin aksjon. (+)
#Fosen #Fosendommen 
https://t.co/QhvB25ECI2",naturpress,0,0
2023-03-03 09:27:20+00:00,1631587049181442048,"Fosen-aksjonistene skriver i en pressemelding at fredag blir siste aksjonsdag. Aksjonistene skal ha siste markering på slottet under Kongen i statsråd. 
#Fosen #Fosendommen 
https://t.co/yYRDvOykGH",naturpress,1,0
2023-03-03 09:27:00+00:00,1631586964213321734,"Fosen-aksjonistene skriver i en pressemelding at fredag blir siste aksjonsdag. Aksjonistene skal ha siste markering på slottet under Kongen i statsråd. 
#Fosen #Fosendommen 
https://t.co/ShL1dcxm9A",transitmagasin,0,0
2023-03-03 09:11:59+00:00,1631583185753579520,"Over 500 dager og 8 dager med aksjoner i regjeringskvartalet skulle det ta, men nå har endelig statsministeren forstått hva som skulle vært første skritt hele veien. Ollu giitu til alle de som har gitt så mye den siste uken for at rettferdigheten skal seire 💚💙💛❤️ #Fosendommen https://t.co/GtLzFvbJ0m",ragnhildfd,11,3
2023-03-03 08:53:30+00:00,1631578533620228096,"Sista aktionsdagen idag. #Norge s statsminister har lovat prioritera frågan. Vi följer. #Fosendommen
#Fosen #Norway #HumanRights
#ungreenwindpower #ogrönvindkraft 
https://t.co/XovpQ5Nbfy",OhmanMay,0,0
2023-03-03 08:50:07+00:00,1631577682013044741,"""Urfolksrett er ikke valgfritt"", står det på parolen. Markering om et knapt kvarter! #Fosendommen https://t.co/Xu0RQcFAAn",TiramT,1,2
2023-03-03 08:25:35+00:00,1631571508815331328,"Blokaden oppheves etter nødvendige innrømmelser fra regjeringen til å starte opp arbeidet med å følge #fosendommen på alvor. Kampen er ikke over, men staten får gå på jobb. Gratulerer!! Takk!! https://t.co/GoHUzBmwqr",TrulsGulowsen,100,25
2023-03-03 08:20:14+00:00,1631570160950624260,"Det er nå i dag, fredag  det. Om tre kvarter. @Regjeringen må lytte.
Vis din støtte! #Fosendommen",PerErikSchulze,3,0
2023-03-03 07:45:10+00:00,1631561336361566208,"@sjakhaaheim .#fosendommen og kostnader ved fjerning av installasjoner viser hvor viktig det er å avsette midler på bankkonto for fremtidig tilbake setting. Alle vindparker ved produksjons avslutning skal ha plikt til å tilbakeføre naturen før inngrepene. Nå vet vi kostnadene, åpne konto.",superunknowner,6,1
2023-03-03 07:38:14+00:00,1631559592743170050,"@PshheeK @journalisten Du treffer ganske godt her, og vi vet jo allerede godt hva Nettavisen tenker om #fosendommen: ""Penger = 😍, Menneskerettigheter og avgjørelsen til norges høyesterett = 🙄""",AndreBirchman,1,0
2023-03-03 05:55:03+00:00,1631533625693859840,"Lurer på om @Arbeiderpartiet og @Regjeringen tenker at kommuniksjonsrådgiverne er verd penga? Kanskje de ikke betaler nok, - siden gode råd er dyre? #fosendommen",bjopet,0,0
2023-03-02 23:50:22+00:00,1631441849272487936,"""Jeg snakker først!"" 😍 HER snakker vi forbilde! @nrk #Fosen #Fosendommen
#forbilde #Influencer

https://t.co/jskPD3Q1m1",huldra71,2,0
2023-03-02 23:13:55+00:00,1631432677428428801,"#Fosendommen #Norgemåsteföljalagen #Norge följ på insta. Stötta. Dela. För visst ska stater följa de lagar som finns? #humanrights  #Fosen #Norway Support Share widely. States need 2 follow rule of law, right? 

https://t.co/FwNYmE4O2O",OhmanMay,0,0
2023-03-02 21:41:11+00:00,1631409342011326464,8 days into the #Fosendommen protest in Oslo- a glimmer of hope: the gov't has acknowledged that there has indeed been a human rights violation going on for 500 days and appologised for it to the affected #reindeer herders. 1/,andrei__marin,9,0
2023-03-02 20:38:40+00:00,1631393606912057382,"""Indigenous rights must “go hand in hand” with climate action, @GretaThunberg told Reuters in Norway. Action “can’t happen at the expense of some people. Then it is not climate justice""#Fosendommen

@MargaretAtwood
@MarkRuffalo
@LeoDiCaprio
@vanessa_vash
https://t.co/TFBJv5OiS8",arnestor,9,0
