date,id,content,username,like_count,retweet_count
2023-03-03 12:18:40+00:00,1631630165213061122,"2/3🗣️In an oral update to #HRC52 on #Nicaragua, Ilze Brands Kehris #UN Assistant Secretary-General for #HumanRights explains:

🔹Restriction of economic, social &amp; cultural rights
🔹Violation of #IndigenousPeoples rights
🔹Erosion of #HumanRights➡️mass displacement &amp; exile https://t.co/ImC4DyRgDh",URGthinktank,1,0
2023-03-03 11:51:54+00:00,1631623430993739777,"36/. ""Sometimes they have to kill us"" (John Trudell)

Eduardo Mendúa (40), an A’i Cofan Indigenous leader who fought against oil extraction in the Amazon rainforest, was shot 12 times by hooded men at his home in Equador on Sunday
#IndigenousPeoples 
https://t.co/Fh3ff6euqN",StefSimanowitz,10,6
2023-03-03 11:11:55+00:00,1631613366807699456,"Another #WSBK2023 in #Mandalika, another round of intensification of intimidation of local #IndigenousPeoples for defending their land rights. 

@AIIB_Official must put an end to reprisals in #Mandalika. 

https://t.co/7WdHU8n3ml",JustfinanceI,1,0
2023-03-03 11:01:14+00:00,1631610678451613697,"It is worth reminding ourselves that water is a basic human right 💧 indeed it is a prerequisite for realizing all other human rights, including the right to life itself 🌏

Do you believe that water is life? Comment down below!

#Pawankafund #indigenouspeoples #waterislife https://t.co/Q1Hkp9lnhx",pawankafund,3,2
2023-03-03 10:56:01+00:00,1631609366507040768,"🌞We are joining the @aippnet  Annual Asia Preparatory Meeting on the UN Mechanisms &amp; Procedures Relating to #IndigenousPeoples 🌞

This year's theme: Towards self-determination and self-governance of #Indigenous Peoples in Asia https://t.co/7nLaXe2AYJ",ipmsdl_,8,2
2023-03-03 10:27:52+00:00,1631602280373039104,"""At the #time when we were conquered, the big haciendas held huge #parties with #music and #dance, which we, the #IndigenousPeoples, could not enter,"" said #dancer Carlos Gomez Vazquez.

#Spanish #invaders weren't the only #target of #mockery.",ReddySalina,2,1
2023-03-03 09:58:48+00:00,1631594965678563328,"Sustainable Reindeer Herding?

A thesis in English 

by Jan Åge Riseth, Senior Research Scientist, Ph. D.

#reindeer #Sustainability #Nature #HealthyWayOfLiving #HealthyLiving #sami #INDIGENOUS #IndigenousPeoples

Document:
https://t.co/hXazjC6Egb",UrbanSamiGirl,0,0
2023-03-03 09:52:00+00:00,1631593255056834560,"Read our new impact case study on work by @UniofOxford School of Geography &amp; the Environment
to mitigate the impact of mining in Mongolia https://t.co/enRt08li8g 
@IYRP2026
@oxfordgeography
@RightsResources #IndigenousPeoples
#MobilePeoples
#Resilience https://t.co/jcBRvHtAVE",OxEngage,2,0
2023-03-03 09:00:22+00:00,1631580263158349826,"#PawankaPodcast : sharing #indigenousknowledge

https://t.co/1ryQckBNEl

#sharingknowledge #indigenouspeoples #storytelling #interviewsfromaroundtheworld #PawankaFund #indigenouscommunity #culturalheritage

@pawankafund https://t.co/F0ZCeZXqiU",ApproachLocal,0,0
2023-03-03 08:43:52+00:00,1631576109874642945,"If you didn't know.....now you know.

#on_the_street #HealthyWayOfLiving #IndigenousPeoples",EtheRealMel,0,0
2023-03-03 08:24:46+00:00,1631571301998403586,"Are you as ignorant about everything else that goes on in the world as you are about what is happening in Norway right now?

#HumanRightsViolations #Fosen #Windturbins #IndigenousPeoples",hvor_vanskelig,3,0
2023-03-03 07:10:17+00:00,1631552560787083265,"📢World Wildlife Day
Indigenous Peoples’ Rights and UNESCO World Heritage Sites

This 2022 report provides an overview of the #WorldHeritage designation's impact on #IndigenousPeoples and their rights.

Read more here 👉https://t.co/UOSIqI4JiY https://t.co/60WsQ5c2O4",IWGIA,1,0
2023-03-03 07:00:01+00:00,1631549974130442241,"Anoshka V. Irey Cameno, member of the #Harabukt pples, from the native community of Masenawa🇵🇪calling on administrations to send direct financial aid to #IndigenousPeoples ""50 years passed &amp; until now we aren't protecting our #forests""  
📺 Watch it NOW: https://t.co/jfW1M17vGa https://t.co/smnIU3snFZ",SIANIAgri,0,0
2023-03-03 04:40:43+00:00,1631514919526088706,"More importantly, let's change the name to honour #IndigenousPeoples 💞 Then its beauty will be fully realized. @JayInslee @RepDelBene @PattyMurray @NCAI1944 @POTUS @VP",thepeopleofwa,0,0
2023-03-03 03:50:58+00:00,1631502398597242883,"#adopteevoices #mutualfunds #anxietyisreal #Autism #IncomeTax #poverty #family #hunger #helpinghands #BlackLivesMatter #IndigenousPeoples #Children #PleaseCareAndShare I also have 3 birthdays this month and nothing, 10, 17, and myself. 10yr olds in 2 days 😭",dcfscorruption,4,3
2023-03-03 03:47:00+00:00,1631501399669493760,"Indigenous people and the environment go hand in hand🤝🪶🌳

https://t.co/fJkusRcn1V

#IndigenousPeoples #environement #conservation #Diversity #nature #naturelover #nft #Web3 #blockchains #biodiversity #nftart #Bitcoin #ETH #OrdinalsNFTs #Stacks",IndigeNFT,5,0
2023-03-03 03:25:03+00:00,1631495875313942529,"Longmont Museum hosts exhibit titled 'Duality', showcasing works created by Indigenous artists. #IndigenousPeoples",SarahSmith0908,0,0
2023-03-03 03:02:24+00:00,1631490178476048385,"Daily Amazing Native American History and content 

#NativeAmerican #NativeAmericans #native #nativehistory #History #INDIGENOUS #IndigenousPeoples https://t.co/qZb6NtU6XP",nativeaofficial,29,0
2023-03-03 02:53:00+00:00,1631487810376028160,"Indigenous communities do so much for the Earth and here is how you can read about it🪷🎋🌿
https://t.co/kiJtQ6dJ2B

#IndigenousPeoples #environement #conservation #Diversity #nature #naturelover #nft #Web3 #blockchains #biodiversity #nftart #Bitcoin #ETH #OrdinalsNFTs #Stacks",IndigeNFT,2,0
2023-03-03 02:36:43+00:00,1631483713572982784,"#IndigenousPeoples continue to face gaps in care at every level of the health care system – and that just isn’t acceptable. With the new #IndigenousHealthEquityFund, we’re working in partnership with Indigenous leadership to change that | @JustinTrudeau",powwow_heart,0,0
2023-03-03 00:48:46+00:00,1631456546935943168,@bettycrackerfl Did you know about this?🤔 #Miami #Archaeology #IndigenousPeoples,ghostcatbce,0,0
2023-03-02 22:58:27+00:00,1631428785735192576,📌 Take this quiz to find out how much you know about #IndigenousPeoples and how much we can all learn from them 🙌 .,MinorityRights,1,1
2023-03-02 22:33:11+00:00,1631422425521856519,"@JustinTrudeau @KenSimCity @Taleeb #Cdnpoli silence on #Alberta spill: #IndigenousPeoples  disproportionately incarcerated, #NativeAmerican women forcefully sterilized #TrudeauForTreason tokenized #FirstNations at the Vatican, paid the pope &amp; continued  colonial legacy #TrudeauForTreason 
https://t.co/9GncQpc0zL",OniJoseph,0,1
2023-03-02 22:26:55+00:00,1631420849545773057,"#Trudeau who cannot take care of Canadians is now giving false hope to #newcomers 👎
#Ukraine #war #refugees #Canada #immigration #politics #cdnpoli #economy #inflation #IndigenousPeoples #cleandrinkingwater #homelessness https://t.co/O8wexsrxYI",smartnfunny,1,0
2023-03-02 22:01:15+00:00,1631414390661562368,"#IndigenousPeoples are nature's best stewards because of their longstanding cultural, spiritual &amp; physical connections to their territories. 

Meet the @goldmanprize winners &amp; see how they protect one of our most critical resources: the Amazon rainforest⤵️https://t.co/ITcev6CtUE",IUCN_GovRights,9,5
