date,id,content,username,like_count,retweet_count
2023-03-03 08:14:15+00:00,1631568655933685761,"Solidaritet med de samiska ungdomarna i Oslo!

#StandWithSápmi #ČSV #baajhvaerideårrodh https://t.co/kxXUZISEcp",FFF_Stockholm,37,18
2023-03-02 19:08:49+00:00,1631370996409049096,"🚨Le peuple sami mène une bataille importante pour faire respecter ses droits dans le cadre de la #Transitionverte
Ce combat n'est pas facile et les Samis ont besoin de notre soutien. Agissez maintenant !👊 

Signez, diffusez le message: https://t.co/6b2NaQWndR
#StandWithSápmi https://t.co/l4UKKQCXZF",IPRightsIntl,0,0
2023-03-02 19:08:49+00:00,1631370993896677376,"🚨El pueblo Sami esta librando una gran batalla para que sus derechos sean respetadas en el contexto de la #TransiciónVerde

🤲La lucha no es fácil y los Sami requieren de nuestro apoyo ¡Actúa ahora! 👊

Lee, firma, difunde https://t.co/rfqKsa3LWa

#StandWithSápmi #ClimateJustice https://t.co/4ZSpannGK0",IPRightsIntl,2,1
2023-03-02 19:08:48+00:00,1631370991472353284,"🚨The Sámi people are fighting an important battle to have their rights respected in the context of the #GreenTransition

👐The struggle is not easy and the Sámi need our support

Act now! 👊
Read, sign and spread the word: https://t.co/ngJjFx8Czi

#StandWithSápmi #ClimateJustice https://t.co/TQk3wHGs3c",IPRightsIntl,12,7
2023-03-02 17:06:58+00:00,1631340330141327372,"Scenes from today in Oslo. In solidarity with the Sámi community in Norway

Norway's supreme court ruled in 2021 that the Fossen wind turbines violated Sami rights under international law but they’re still in operation 500+ days later

#LandBack #StandWithSapmi https://t.co/rcuA11ZK6q",AineMaps,13,2
2023-03-02 07:15:01+00:00,1631191363206225920,"💲Owners of the Roan Vind and Fosen Vind farms include 🇩🇪Germany's Stadtwerke Muenchen, 🇳🇴Norwegian utilities Statkraft and TroenderEnergi, as well as 🇨🇭Swiss firms Energy Infrastructure Partners and BKW.
#StandWithSápmi #LandBack #DefendTheDefenders",IPRightsIntl,6,1
2023-03-02 07:15:01+00:00,1631191361335578625,"🦌The Sami objected the licenses claiming violations of their cultural and other rights, and the importance of these traditional lands for reindeer herding. 

👣The Sami claimed these projects threatened the very existence of their people.
#StandWithSápmi #LandBack",IPRightsIntl,6,1
2023-03-02 07:15:00+00:00,1631191359569686528,"⚖️In 2021, Norway's supreme court declared invalid the wind power license and the expropriation of Sami traditional lands for two wind farms. 

⛔️The Court ruled that the farms violated #Sami rights under international conventions. 

#StandWithSápmi #LandBack #DefendTheDefenders",IPRightsIntl,5,1
2023-03-02 07:15:00+00:00,1631191356801425412,"☮️#Sami youth have peacefully protested to demand that the Norwegian Supreme Court's decision in the #FosenWind is upheld. 

However, instead of executing the legal mandate, the 🇳🇴Norwegian government responded with the use of force by the police. 
🧵  👇
#StandWithSápmi https://t.co/OLOY4BWPa6",IPRightsIntl,37,18
2023-03-01 20:31:10+00:00,1631029330892541953,"Imorgon torsdag ordnar Sáminuorra och Fridays for Future en manifestation på Mynttorget i Stockholm, kl. 16.30. #StandWithSápmi https://t.co/udSu8fFDY4",ExtinctionR_SV,6,0
