date,id,content,username,like_count,retweet_count
2023-03-03 10:30:06+00:00,1631602845429399553,"Inpex has bought a 16.7% stake in the Moray East #offshore #windfarm in the UK. Inpex Renewable also bought stakes in two Dutch #offshore #windfarms.
https://t.co/t92ciukm15",cleantechvang,0,0
2023-03-03 02:21:22+00:00,1631479848702017537,"Toms River Joins Chorus Of Towns Calling For A Halt To Offshore Wind Project Amid A Rise In Whale Deaths
Follow the money to nail ⁦@GovMurphy⁩ 
#whales #windfarms #corruptNJ  https://t.co/FgPqR8eqhb",genuine2thebone,2,1
2023-03-02 23:51:33+00:00,1631442148288606210,"#WindFarms are responsible for killing hundreds &amp; thousands of #Birds &amp; #Bats too.
#SaveTheWhales
#wildlife",Doc_JJK,0,0
2023-03-02 20:21:08+00:00,1631389196710453283,Norway’s government apologizes to Sami reindeer herders WPXI #WindFarm #WindTurbine #WindFarms [Video] https://t.co/wB5rQxmetW,CMcinnisENG,0,0
2023-03-02 20:02:44+00:00,1631384565997793281,"Captain Planet

#Norway #RenewableEnergy #Sami #Fosen #windfarms https://t.co/A0U6Dedhx1",pixelvino,0,0
2023-03-02 18:37:07+00:00,1631363019253989377,I choose #ChaosWithEdMiliband and #British #WindFarms for #GreenEnergy and #CheapEnergy,southernkbell,0,1
2023-03-02 18:18:00+00:00,1631358206692712448,"China approves 2 new coal fired power plants PER WEEK. Yes, to feed their growing industrial energy demand. And the West installs far more exlensive wind power. Guess who comes out on too?

#ClimateScam #ClimateCrisis #coal #windfarms #power #China",doordouwen,0,0
2023-03-02 15:08:13+00:00,1631310446996193280,Greta Thunberg has joined a protest against wind farms. Here’s why. https://t.co/xRzGN8DTQz #gretathunberg #windfarms https://t.co/jnCCAOgLzd,ozarabmedia,0,0
2023-03-02 14:26:37+00:00,1631299977409617920,"Go green!
#GreenEnergy #windfarms",jtsoria,0,0
2023-03-02 10:51:40+00:00,1631245882036215810,"With proper spatial planning, EIAs and reprioritization of our core values, we can minimize the risk of #HumanRights and #biodiversity becoming mere trade-offs in the #decarbonization race. No #windfarms at the expense of #nature  or #IndigenousPeoples rights.

#RestoreNature",IoannisAgapakis,0,0
2023-03-02 10:28:33+00:00,1631240065115619328,Dead humpback whale found floating off New Jersey coast #OnShoreWind #WindPower #WindFarms #WindIndustry #Environment [Video] https://t.co/0VFy7GhDf7,CMcinnisENG,0,0
2023-03-02 09:14:15+00:00,1631221369206722562,"A Russian ship wanted to spy on Dutch #windfarms: What is the security situation at German #offshorewind farms and what protective measures must be taken now to protect critical infrastructure from Russian espionage and sabotage? @BWO_news 🇩🇪
https://t.co/t9YLewJ9bL",BalticWindEU,1,0
