Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Norway,NOR,2019,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.33
Norway,NOR,2018,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.66
Norway,NOR,2017,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.68
Norway,NOR,2016,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.57
Norway,NOR,2015,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.77
Norway,NOR,2014,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.77
Norway,NOR,2013,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.37
Norway,NOR,2012,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.14
Norway,NOR,2011,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.89
Norway,NOR,2010,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.57
Norway,NOR,2009,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.44
Norway,NOR,2008,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.44
Norway,NOR,2007,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.83
Norway,NOR,2006,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.21
Norway,NOR,2005,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.28
Norway,NOR,2004,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.3
Norway,NOR,2003,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.23
Norway,NOR,2002,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.94
Norway,NOR,2001,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.3
Norway,NOR,2000,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.27
Norway,NOR,2020,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Norway,NOR,2019,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Norway,NOR,2018,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Norway,NOR,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Norway,NOR,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Norway,NOR,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
